id,asx_code,opening_price,higest_price,lowest_price,last_price,yesterday_closeprice,cumulative_volume,cumulative_value,best_bid_price,best_ask_price,number_of_trades,time_of_trade,security_status,best_bid_quantity,best_ask_quantity,number_of_buyers,number_of_sellers
2172,NOR,1.4,1.5,1.4,1.4,1.7,535719,7792,1.4,1.5,7,161049,8,97404,8064,1,1
2173,NOU,18.5,18.5,18,18,18.5,34211,6302,18,18.5,67,154315,8,89023,5765,7,1
2174,NOUO,4.5,4.5,4.5,4.5,4.5,9553,430,4.5,5,3,124808,4,7002,3106,1,1
2175,NOV,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2176,NOX,0,0,0,0,0,0,0,0,23,0,,0,0,20000,0,0
2177,NPR,166,167.5,161,166,166,234394,383816,162,169.5,46,155110,8,2447,5000,1,1
2178,NRZ,0,17.5,0,17.5,0,133827,23054,0,0,12,101014,0,1345999,141293,25,0
2179,NSB,21,21,20,20,21.5,482808,100259,20,22,14,154122,8,21892,9500,1,1
2180,NSC,0,0,0,0,0,0,0,0,80,0,,0,60000,6250,2,0
2181,NSCOA,2.3,2.3,2.3,2.3,2.3,18880,434,2.3,2.4,2,132909,8,28753,5000,1,1
2182,NSM,20.5,21.5,20.5,21.5,20.5,31341,6544,21.5,25,5,155303,8,52849,13520,1,1
2183,NSR,0,0,0,0,0,0,0,0,0,0,,0,17365,0,6,0
2184,NST,0,0,0,0,0,0,0,907,0,0,,0,988,6827,5,9
2185,NSTBF8,12.5,12.5,12.5,12.5,76,40,500,0,0,1,131037,12,0,0,0,0
2186,NSTBH8,10.5,10.5,10.5,10.5,112,43,452,0,0,1,113809,12,0,0,0,0
2187,NSTD88,64,64,64,64,0,5,320,0,0,1,144408,12,0,0,0,0
2188,NSTG88,20,20,20,20,0,5,100,0,0,1,143306,12,0,0,0,0
2189,NSTJE8,10,10,10,10,0,1675,16750,0,0,2,112355,12,0,0,0,0
2190,NSTJOA,331,331,331,331,280,300,993,0,0,1,100849,4,0,0,0,0
2191,NSTYT7,51.5,51.5,51.5,51.5,38.5,70,3605,0,0,1,124613,12,0,0,0,0
2192,NSTYV7,39,39,39,39,28,250,9750,30,0,1,132129,12,10,0,1,0
2193,NSTYX7,30,33,28.5,33,170,410,12288,0,0,5,155002,12,0,0,0,0
2194,NSTZ27,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2195,NSTZ57,10,10,10,10,6,480,4800,0,0,2,144524,12,0,0,0,0
2196,NSTZ77,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2197,NSTZ97,4.5,4.5,4.5,4.5,83,80,360,0,0,1,112202,12,0,0,0,0
2198,NSTZN7,24,24,24,24,65,50,1200,0,0,1,114637,12,0,0,0,0
2199,NSTZY7,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2200,NTD,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2201,NTI,5.5,5.8,5.4,5.6,5.8,1032899,57996,5.6,5.7,15,134601,8,35600,121000,1,1
2202,NTO,0,0,0,0,0,0,0,0,0,0,,0,5121,0,10,0
