id,asx_code,order_type,buy,price,quantity,orderid,orderdate
191,GAL,0,2,115,4000,691D41410025F7D7,"2022-05-25 06:51:45"
192,GAL,0,2,115,2109,691D41410039F953,"2022-05-25 06:51:45"
193,GAL,0,2,115.5,66000,691D4141003D2233,"2022-05-25 06:51:45"
194,GAL,0,2,116,5000,691D41410011D098,"2022-05-25 06:51:45"
195,GAL,0,2,116,18163,691D4141001E8202,"2022-05-25 06:51:45"
196,GAL,0,2,116,40816,691D4141001E976C,"2022-05-25 06:51:45"
197,GAL,0,2,116,9132,691D414100326C6F,"2022-05-25 06:51:45"
198,GAL,0,2,116.5,35000,691D4141001DDEBE,"2022-05-25 06:51:45"
199,GAL,0,2,116.5,18000,691B710100060900,"2022-05-25 06:51:45"
200,GAL,0,2,117,9000,691D41410012485F,"2022-05-25 06:51:45"
201,GAL,0,2,117,55000,691D4141001E9B17,"2022-05-25 06:51:45"
202,GAL,0,2,117.5,10000,691D414100119476,"2022-05-25 06:51:45"
203,GAL,0,2,117.5,30000,691D414100149510,"2022-05-25 06:51:45"
204,GAL,0,2,118,8792,691D414100114214,"2022-05-25 06:51:45"
205,GAL,0,2,118,8583,691D41410014AC59,"2022-05-25 06:51:45"
206,GAL,0,2,118,10000,691D41410016C5C0,"2022-05-25 06:51:45"
207,GAL,0,2,118,16000,691D4141001F577C,"2022-05-25 06:51:45"
208,GAL,0,2,118,10000,691D41410023F666,"2022-05-25 06:51:45"
209,GAL,0,2,118.5,4700,691D4141001081D9,"2022-05-25 06:51:45"
210,GAL,0,2,118.5,8000,691D414100129DB7,"2022-05-25 06:51:45"
211,GAL,0,2,119.5,2550,691D4141000E04EA,"2022-05-25 06:51:45"
212,GAL,0,2,119.5,10000,691D4141000FC5CC,"2022-05-25 06:51:45"
213,GAL,0,2,119.5,25189,691D414100107095,"2022-05-25 06:51:45"
214,GAL,0,2,120,25000,691B71010031B739,"2022-05-25 06:51:45"
215,GAL,0,2,120,20000,691B710100405C25,"2022-05-25 06:51:45"
216,GAL,0,2,120,3877,691D4141000F15B1,"2022-05-25 06:51:45"
217,GAL,0,2,120,5000,691D4141000FB183,"2022-05-25 06:51:45"
218,GAL,0,2,120,39130,691D4141001250B1,"2022-05-25 06:51:45"
219,GAL,0,2,120,4706,691D4141001B17F1,"2022-05-25 06:51:45"
220,GAL,0,2,120,6720,691D4141002E2F4F,"2022-05-25 06:51:45"
221,GAL,0,2,120,200000,691D41410040901B,"2022-05-25 06:51:45"
222,GAL,0,2,120.5,2000,691B7101003195CC,"2022-05-25 06:51:45"
223,GAL,0,2,121,16500,691B71010039A464,"2022-05-25 06:51:45"
224,GAL,0,2,121,100000,691D41410016A8A6,"2022-05-25 06:51:45"
225,GAL,0,2,121.5,2000,691B7101002E37D3,"2022-05-25 06:51:45"
226,GAL,0,2,121.5,1000,691B71010030C41A,"2022-05-25 06:51:45"
227,GAL,0,2,122,6086,691D4141000330D7,"2022-05-25 06:51:45"
228,GAL,0,2,122,969,691D414100104696,"2022-05-25 06:51:45"
229,GAL,0,2,122,4340,691D4141001226F0,"2022-05-25 06:51:45"
230,GAL,0,2,122,8695,691D414100126626,"2022-05-25 06:51:45"
231,GAL,0,2,122,45000,691D41410016A85C,"2022-05-25 06:51:45"
232,GAL,0,2,122,20000,691D414100178690,"2022-05-25 06:51:45"
233,GAL,0,2,123,1000,6917A0C10017B803,"2022-05-25 06:51:45"
234,GAL,0,2,123,22300,691B71010031A530,"2022-05-25 06:51:45"
235,GAL,0,2,123.5,50000,691B71010014AA56,"2022-05-25 06:51:45"
236,GAL,0,2,124,2500,691B71010011D236,"2022-05-25 06:51:45"
237,GAL,0,2,124,500,691B71010011E216,"2022-05-25 06:51:45"
238,GAL,0,2,124,5000,691B7101001278EE,"2022-05-25 06:51:45"
239,GAL,0,2,124,8500,691B710100133A6A,"2022-05-25 06:51:45"
240,GAL,0,2,124,3000,691B71010003F685,"2022-05-25 06:51:45"
241,GAL,0,2,124,500,691B71010032DF16,"2022-05-25 06:51:45"
242,GAL,0,2,124,1500,691B71010042C2CF,"2022-05-25 06:51:45"
243,GAL,0,2,124,9265,691D41410011F0C6,"2022-05-25 06:51:45"
244,GAL,0,2,125,545,6917A0C100065961,"2022-05-25 06:51:45"
245,GAL,0,2,125,10416,691B7101003E9A29,"2022-05-25 06:51:45"
246,GAL,0,2,125.5,20000,691B7101001E0868,"2022-05-25 06:51:45"
247,GAL,0,2,126,7000,691B7101001FD51E,"2022-05-25 06:51:45"
248,GAL,0,2,126,9090,691D4141001064AE,"2022-05-25 06:51:45"
249,GAL,0,2,126,10000,691D41410026E5D8,"2022-05-25 06:51:45"
250,GAL,0,2,126.5,10000,691B7101000F8C66,"2022-05-25 06:51:45"
251,GAL,0,2,126.5,10000,691B710100182CE4,"2022-05-25 06:51:45"
252,GAL,0,2,127,200,6917A0C1002C2DA7,"2022-05-25 06:51:45"
253,GAL,0,2,127,1887,691B710100278BA0,"2022-05-25 06:51:45"
254,GAL,0,2,127,30000,691D4141000C80DF,"2022-05-25 06:51:45"
255,GAL,0,2,127.5,4000,6917A0C1001C620C,"2022-05-25 06:51:45"
256,GAL,0,2,128,8600,6917A0C100118F1D,"2022-05-25 06:51:45"
257,GAL,0,2,128,2700,6917A0C1001C2BB2,"2022-05-25 06:51:45"
258,GAL,0,2,128,40000,691B71010003E09C,"2022-05-25 06:51:45"
259,GAL,0,2,128,6500,691B71010012070E,"2022-05-25 06:51:45"
260,GAL,0,2,129,15512,691B71010015A4EB,"2022-05-25 06:51:45"
261,GAL,0,2,129.5,390,6917A0C1003435D1,"2022-05-25 06:51:45"
262,GAL,0,2,129.5,10000,691B7101000F9183,"2022-05-25 06:51:45"
263,GAL,0,2,129.5,12267,691B7101000FA312,"2022-05-25 06:51:45"
264,GAL,0,2,129.5,67326,691B7101000F7833,"2022-05-25 06:51:45"
265,GAL,0,2,130,10000,6917A0C100144A83,"2022-05-25 06:51:45"
266,GAL,0,2,130,20000,6917A0C100169C44,"2022-05-25 06:51:45"
267,GAL,0,2,130,1000,6917A0C1001B4E97,"2022-05-25 06:51:45"
268,GAL,0,2,130,15000,691B7101000B1A31,"2022-05-25 06:51:45"
269,GAL,0,2,130,2444,691B7101003DEFBC,"2022-05-25 06:51:45"
270,GAL,0,2,131,2000,6917A0C100101D48,"2022-05-25 06:51:45"
271,GAL,0,2,131,7700,6917A0C10031D47E,"2022-05-25 06:51:45"
272,GAL,0,2,131,100000,691B71010034AD3A,"2022-05-25 06:51:45"
273,GAL,0,2,131.5,20000,6917A0C10010DB1E,"2022-05-25 06:51:45"
274,GAL,0,2,131.5,10000,6917A0C100180E16,"2022-05-25 06:51:45"
275,GAL,0,2,132,1000,6917A0C100278FF0,"2022-05-25 06:51:45"
276,GAL,0,2,133,30000,6917A0C1000CE0E0,"2022-05-25 06:51:45"
277,GAL,0,2,133,5000,6917A0C1001D0BC3,"2022-05-25 06:51:45"
278,GAL,0,2,133,796,691D4141000628C5,"2022-05-25 06:51:45"
279,GAL,0,2,133.5,2500,6917A0C100112BA0,"2022-05-25 06:51:45"
280,GAL,0,2,134,82,6917A0C10009A426,"2022-05-25 06:51:45"
281,GAL,0,2,134,4600,6917A0C1000FFA7F,"2022-05-25 06:51:45"
282,GAL,0,2,134,79,691B71010011BA79,"2022-05-25 06:51:45"
283,GAL,0,2,135,2500,691199010015FCAB,"2022-05-25 06:51:45"
284,GAL,0,2,135,5000,6917A0C1000C2EC0,"2022-05-25 06:51:45"
285,GAL,0,2,135,2000,6917A0C1000C64FB,"2022-05-25 06:51:45"
286,GAL,0,2,135,2200,6917A0C1001799FB,"2022-05-25 06:51:45"
287,GAL,0,2,135,4761,691D414100186FA2,"2022-05-25 06:51:45"
288,GAL,0,2,137.5,725,691B7101000F1ED8,"2022-05-25 06:51:45"
289,GAL,0,2,138,1800,6917A0C100180B41,"2022-05-25 06:51:45"
290,GAL,0,2,139,1600,6917A0C100031726,"2022-05-25 06:51:45"
291,GAL,0,2,139,600,691B71010016D436,"2022-05-25 06:51:45"
292,GAL,0,2,140,5000,6917A0C1000E1183,"2022-05-25 06:51:45"
293,GAL,0,2,140,22500,6917A0C1000E99BF,"2022-05-25 06:51:45"
294,GAL,0,2,140,490,691D4141001567A1,"2022-05-25 06:51:45"
295,GAL,0,2,145.5,400,6917A0C10027D5F2,"2022-05-25 06:51:45"
296,GAL,0,2,148,1000,6917A0C10018689F,"2022-05-25 06:51:45"
297,GAL,0,2,149,2375,691B710100033267,"2022-05-25 06:51:45"
298,GAL,0,2,150,5000,6911990100367176,"2022-05-25 06:51:45"
299,GAL,0,2,150,544,6917A0C10010D8DB,"2022-05-25 06:51:45"
300,GAL,0,2,150,1000,6917A0C100233BCC,"2022-05-25 06:51:45"
301,GAL,0,2,150,650,691B7101000A05D5,"2022-05-25 06:51:45"
302,GAL,0,2,152,500,691D41410015E366,"2022-05-25 06:51:45"
303,G6M,0,1,25,5392,691B710100032ADB,"2022-05-25 06:51:45"
304,G6M,0,1,25,4000,691B710100032EA5,"2022-05-25 06:51:45"
305,G6M,0,1,25,4400,691B710100033DC6,"2022-05-25 06:51:45"
306,G6M,0,1,25,10000,691B710100034D32,"2022-05-25 06:51:45"
307,G6M,0,1,25,40000,691B710100034D57,"2022-05-25 06:51:45"
308,G6M,0,1,25,10000,691B7101000D46DB,"2022-05-25 06:51:45"
309,G6M,0,1,25,4000,691D4141000EF21E,"2022-05-25 06:51:45"
310,,0,0,25,2392,691D414100104363,"2022-05-25 06:51:45"
311,G6M,0,1,25,80000,691D41410013C7FF,"2022-05-25 06:51:45"
312,G6M,0,1,25,10000,691D41410018C082,"2022-05-25 06:51:45"
313,G6M,0,1,25,100000,691D4141002264FE,"2022-05-25 06:51:45"
314,G6M,0,1,25,4000,691D41410033395F,"2022-05-25 06:51:45"
315,G6M,0,1,24.5,5000,6916378100225DA8,"2022-05-25 06:51:45"
316,G6M,0,1,24,50000,691B71010039B724,"2022-05-25 06:51:45"
317,G6M,0,1,24,2100,691D41410028BA68,"2022-05-25 06:51:45"
318,G6M,0,1,23.5,2250,691B71010032B1B5,"2022-05-25 06:51:45"
319,G6M,0,1,23.5,11500,691D414100031FB5,"2022-05-25 06:51:45"
320,G6M,0,1,23,2611,6913678100049282,"2022-05-25 06:51:45"
321,G6M,0,1,23,8695,69163781000692AE,"2022-05-25 06:51:45"
322,G6M,0,1,23,30000,69163781000C1F73,"2022-05-25 06:51:45"
323,G6M,0,1,23,30000,691637810010F9DC,"2022-05-25 06:51:45"
324,G6M,0,1,23,21739,6916378100196F0A,"2022-05-25 06:51:45"
325,G6M,0,1,23,2152,69163781001CEB9B,"2022-05-25 06:51:45"
326,G6M,0,1,23,1000,6917A0C100055BBD,"2022-05-25 06:51:45"
327,G6M,0,1,22.5,1000,691199010003443D,"2022-05-25 06:51:45"
328,G6M,0,1,22.5,22222,691199010006124F,"2022-05-25 06:51:45"
329,G6M,0,1,22.5,2222,6913678100060ACA,"2022-05-25 06:51:45"
330,G6M,0,1,22.5,8888,69163781000333AA,"2022-05-25 06:51:45"
331,G6M,0,1,22.5,2850,69163781002A1D40,"2022-05-25 06:51:45"
332,G6M,0,1,22.5,4350,691B710100032512,"2022-05-25 06:51:45"
333,G6M,0,1,22.5,170000,691B71010013A838,"2022-05-25 06:51:45"
334,G6M,0,1,22,3681,6911990100030523,"2022-05-25 06:51:45"
335,G6M,0,1,22,4545,691199010003843B,"2022-05-25 06:51:45"
336,G6M,0,1,22,10000,69119901001B9050,"2022-05-25 06:51:45"
337,G6M,0,1,22,4545,691199010021F10E,"2022-05-25 06:51:45"
338,G6M,0,1,22,45454,69119901002409E0,"2022-05-25 06:51:45"
339,G6M,0,1,22,50000,6911990100370924,"2022-05-25 06:51:45"
340,G6M,0,1,22,21931,69119901003C8AC1,"2022-05-25 06:51:45"
341,G6M,0,1,22,10000,691367810013EA59,"2022-05-25 06:51:45"
342,G6M,0,1,22,100000,6913678100368980,"2022-05-25 06:51:45"
343,G6M,0,1,22,50000,6916378100032B7E,"2022-05-25 06:51:45"
344,G6M,0,1,22,20000,6916378100043A43,"2022-05-25 06:51:45"
345,G6M,0,1,22,5000,69163781000C4446,"2022-05-25 06:51:45"
346,G6M,0,1,22,22727,6917A0C100033148,"2022-05-25 06:51:45"
347,G6M,0,1,22,227277,6917A0C100241936,"2022-05-25 06:51:45"
